Time Stamp, Pressure [Pa], SystemState, Alarm State 
Thu 2020-05-07 02:00:36.250 CEST,9125209,7,0
Thu 2020-05-07 02:00:36.500 CEST,9124223,7,0
Thu 2020-05-07 02:00:36.750 CEST,9123192,7,0
Thu 2020-05-07 02:00:37.0 CEST,9123713,7,0
Thu 2020-05-07 02:00:37.250 CEST,9124203,7,0
Thu 2020-05-07 02:00:37.500 CEST,9125278,7,0
Thu 2020-05-07 02:00:37.750 CEST,9126275,7,0
Thu 2020-05-07 02:00:38.0 CEST,9127165,7,0
Thu 2020-05-07 02:00:38.250 CEST,9126020,7,0
Thu 2020-05-07 02:00:38.500 CEST,9126943,7,0
Thu 2020-05-07 02:00:38.750 CEST,9125823,7,0
Thu 2020-05-07 02:00:39.0 CEST,9125630,7,0
Thu 2020-05-07 02:00:39.250 CEST,9125204,7,0
Thu 2020-05-07 02:00:39.500 CEST,9125337,7,0
Thu 2020-05-07 02:00:39.750 CEST,9125301,7,0
Thu 2020-05-07 02:00:40.0 CEST,9125269,7,0
Thu 2020-05-07 02:00:40.250 CEST,9125947,7,0
Thu 2020-05-07 02:00:40.500 CEST,9126769,7,0
Thu 2020-05-07 02:00:40.750 CEST,9126859,7,0
Thu 2020-05-07 02:00:41.0 CEST,9127932,7,0
Thu 2020-05-07 02:00:41.250 CEST,9128405,7,0
Thu 2020-05-07 02:00:41.500 CEST,9130261,13,0
Thu 2020-05-07 02:00:41.750 CEST,9131354,13,0
Thu 2020-05-07 02:00:42.0 CEST,9131446,13,0
Thu 2020-05-07 02:00:42.250 CEST,9131511,13,0
Thu 2020-05-07 02:00:42.500 CEST,9132488,13,0
Thu 2020-05-07 02:00:42.750 CEST,9132687,13,0
Thu 2020-05-07 02:00:43.0 CEST,9133178,13,0
Thu 2020-05-07 02:00:43.250 CEST,9134307,13,0
Thu 2020-05-07 02:00:43.500 CEST,9136124,13,0
Thu 2020-05-07 02:00:43.750 CEST,9138338,13,0
Thu 2020-05-07 02:00:44.0 CEST,9140095,13,0
Thu 2020-05-07 02:00:44.250 CEST,9142148,13,0
Thu 2020-05-07 02:00:44.500 CEST,9144117,13,0
Thu 2020-05-07 02:00:44.750 CEST,9145216,13,0
Thu 2020-05-07 02:00:45.0 CEST,9146144,13,0
Thu 2020-05-07 02:00:45.250 CEST,9147573,13,0
Thu 2020-05-07 02:00:45.500 CEST,9148055,13,0
Thu 2020-05-07 02:00:45.750 CEST,9148694,13,0
Thu 2020-05-07 02:00:46.0 CEST,9150200,13,0
Thu 2020-05-07 02:00:46.250 CEST,9152391,13,0
Thu 2020-05-07 02:00:46.500 CEST,9153132,13,0
Thu 2020-05-07 02:00:46.750 CEST,9155232,13,0
Thu 2020-05-07 02:00:47.0 CEST,9157784,13,0
Thu 2020-05-07 02:00:47.250 CEST,9159445,13,0
Thu 2020-05-07 02:00:47.500 CEST,9160331,13,0
Thu 2020-05-07 02:00:47.750 CEST,9161672,13,0
Thu 2020-05-07 02:00:48.0 CEST,9162833,13,0
Thu 2020-05-07 02:00:48.250 CEST,9163362,13,0
Thu 2020-05-07 02:00:48.500 CEST,9165580,13,0
Thu 2020-05-07 02:00:48.750 CEST,9166199,13,0
Thu 2020-05-07 02:00:49.0 CEST,9167988,13,0
Thu 2020-05-07 02:00:49.250 CEST,9169666,13,0
Thu 2020-05-07 02:00:49.500 CEST,9171376,13,0
Thu 2020-05-07 02:00:49.750 CEST,9173249,13,0
Thu 2020-05-07 02:00:50.0 CEST,9174540,13,0
